id,name,description,price,stock_quantity,category,image_url,created_at,updated_at,variants
27,Dasylirion glaucophylum,"Dasylirion Wheleeri, originaire du nord du Mexique, très résistante au gel -10°, c'est un arbuste très apprécié pour son feuillage persistant et sa très belle floraison, elle se taille très facilement pour former un tronc de 1.50cm.",38.0,0,Dasylirions,https://www.atypic-cactus.com/wp-content/uploads/2014/07/IMG_3158.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
55,Aloe Striatula,"Aloe Striatula, originaire d'Afrique du Sud, très résistant au gel -10°, c'est un arbuste succulent ramifié aux rosettes de feuilles persistantes de couleur vertes. Floraison abondante en épis de fleurs vertes et jaunes, de 20 à 40 cm de haut, en été. Taille maximale 1m60, très adapté pour des haies et aménagement urbain.
Différentes tailles sont proposées, veuillez nous consulter pour les prix en gros.",48.0,1,"Agaves et aloes, Agaves et aloes > Aloes","https://www.atypic-cactus.com/wp-content/uploads/2014/07/IMG_E4571.jpg, https://www.atypic-cactus.com/wp-content/uploads/2014/07/IMG_E4232-1.jpg, https://www.atypic-cactus.com/wp-content/uploads/2014/07/IMG_E4572.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
59,Yucca Rigida,"Yucca Rigida
Prix: 2.20 le cm de tronc
Différentes tailles et ramifications.",225.0,0,Yuccas,"https://www.atypic-cactus.com/wp-content/uploads/2014/07/YUCCARIGIDA.jpg, https://www.atypic-cactus.com/wp-content/uploads/2014/04/DSC_0188_012-e1420574701701.jpg, https://www.atypic-cactus.com/wp-content/uploads/2014/04/DSC_0187_011-e1420574731797.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66130,Yucca Rostrata - Multi têtes,"Yucca Rostrata Multi-têtes, sujets exceptionnels

Résistant jusqu'à -18° le yucca rostrata est très économique en eau, c'est le yucca à avoir dans son jardin

Taille 1m60- 1m70 avec 3 à 5 bras",1150.0,0,"Yuccas > Rostrata, Sujets exceptionnels, Yuccas",https://www.atypic-cactus.com/wp-content/uploads/2014/07/DSC_0378_01.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66704,Echinocactus Grusonii 30cm,"Echinocactus Grusonii, originaire du Mexique, aussi appelé coussin de belle-mère,

Résistant au gel -7°,

Vendu en pot de diam 30cm",75.0,1,"Cactus, Cactus > Echinocactus","https://www.atypic-cactus.com/wp-content/uploads/2015/01/IMG_E1876.jpg, https://www.atypic-cactus.com/wp-content/uploads/2019/12/echinocactus-grussoniipetit_066-1.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66864,Aloe Ferox,"Aloe Ferox: Gros sujet

Plantes idéales pour les jardin secs, et cactus

Hauteur plante 80cm et largeur 80cm

350 euros",350.0,1,"Agaves et aloes, Agaves et aloes > Aloes, Sujets exceptionnels","https://www.atypic-cactus.com/wp-content/uploads/2016/05/IMG_4835.jpg, https://www.atypic-cactus.com/wp-content/uploads/2016/05/IMG_4834.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66957,Yucca Rostrata multi-tête,Yucca Rostrata sujet exceptionnel multi-tête,980.0,0,"Sujets exceptionnels, Yuccas",https://www.atypic-cactus.com/wp-content/uploads/2014/11/IMG_1666.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
66961,Trichocereus Pasacana Tersheki géant,"<strong>Trichocereus pasacana et Tersheki Géant</strong>

Sujet exceptionnel entre 1M80 et 4 m de hauteur se ramifiant pouvant atteindre 12m

Le roi des cactus à planter dans toute la France, résistance au gel -17°

Consultez nous pour connaitre nos prix",,1,"Cactus, Sujets exceptionnels, Cactus > Trichocereus","https://www.atypic-cactus.com/wp-content/uploads/2020/03/IMG_0445.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6137.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6139.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6278.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6281.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6282.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6310.jpg, https://www.atypic-cactus.com/wp-content/uploads/2017/01/IMG_6311.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67185,Yucca Linearis,"Yucca linearis, très résistant au gel -17°, plus fin que le rostrata, idéal pour un jardin ou intérieur

Sujet exceptionnel de taille adulte 2m+",550.0,0,"Sujets exceptionnels, Yuccas",https://www.atypic-cactus.com/wp-content/uploads/2017/11/DSC_0351_01.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67325,Agave Nigra,"Agave Nigra, -14°, hybride naturel de l'agave victoria reginae, sublime pour sa couleur et idéale pour les rocailles extérieures

Taille 30 Cm - Pot de 15L",98.0,1,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2018/05/IMG_3370.jpg, https://www.atypic-cactus.com/wp-content/uploads/2018/05/IMG_3371.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
67415,Agave Parryi Huachucensis,"Cousin de l'Agave Parryi, une très belle espèce originaire de l'Arizona qui pousse en rosace mais ne prend pas trop de place contrairement aux agaves Americana...

Taille de sujet exceptionnel pour installation dans jardin

Diamètre plante 60-70cm",180.0,1,"Agaves et aloes > Agaves, Agaves et aloes, Sujets exceptionnels",https://www.atypic-cactus.com/wp-content/uploads/2018/09/agaves-parry-huachaensis.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
